,distance,name,popularity,rating,latitude,longitude,category
6,275,Lark Inn The,0.9661515610271645,,53.343893,-6.280531,Lounge
7,303,The Brazen Head,0.99917164157788,8.9,53.343893,-6.280531,Bar
8,340,Urbanity Coffee,0.9921448770316205,9.3,53.343893,-6.280531,Café
9,344,Roe & Co Distillery,0.9840612413950698,7.9,53.343893,-6.280531,Distillery
0,180,Fidelity,0.9943443114627667,,53.347477,-6.28525,Beer Bar
1,188,Wuff,0.96709417578337,8.7,53.347477,-6.28525,Bistro
2,220,Fish Shop - Benburb Street,0.9710645833928419,8.6,53.347477,-6.28525,Bar
3,255,PHX Bistro,0.9502128024222343,9.0,53.347477,-6.28525,Wine Bar
4,329,Gaucho’s Dog,0.9181353366277243,,53.347477,-6.28525,Hot Dog Joint
5,331,Token,0.9740352480790654,8.7,53.347477,-6.28525,Arcade
6,368,Pifko Bar,0.9594104373161187,7.7,53.347477,-6.28525,Pub
7,372,"Belfry, The",0.9847182153160616,,53.347477,-6.28525,Cocktail Bar
8,380,Proper Order Coffee Co.,0.9843468822302837,8.0,53.347477,-6.28525,Café
9,389,Power House Bar,0.8973406838241595,,53.347477,-6.28525,Cocktail Bar
0,208,Vengabus,,,53.339005,-6.300217,Arts and Entertainment
1,208,Cakesbymarion,,,53.339005,-6.300217,Bakery
2,216,The Rialto Bridge Cafe,0.9226484618241024,,53.339005,-6.300217,Café
3,255,Carrigans,0.6483761318518095,,53.339005,-6.300217,Lounge
4,263,Latino Italian Restaurant,,,53.339005,-6.300217,Restaurant
5,346,The Circular,0.9706075580564998,,53.339005,-6.300217,Bar
6,346,Rialto House,,,53.339005,-6.300217,Bar
7,348,Daddy’s Café,0.9605815647404953,,53.339005,-6.300217,Diner
8,355,The Other Hand,0.8662915250364192,,53.339005,-6.300217,Pub
9,358,McCauley's Bar & Lounge,0.04236053586220686,,53.339005,-6.300217,Bar
0,54,Pause Cafe',0.8851438201605302,6.6,53.344153,-6.233451,Café
1,128,Mackenzie's,0.9542403381987489,7.4,53.344153,-6.233451,Modern European Restaurant
2,186,Bites By Kwanghi,0.9421291667856837,,53.344153,-6.233451,Restaurant
3,214,BrewDog Outpost Dublin,0.9919734925304922,7.6,53.344153,-6.233451,Beer Bar
4,237,Milano,0.9683509954583107,6.8,53.344153,-6.233451,Pizzeria
5,245,Insomnia,0.901511040018281,,53.344153,-6.233451,Coffee Shop
6,251,Windmill Lane Recording Studios,0.9697506355508584,7.5,53.344153,-6.233451,Recording Studio
7,269,Charlotte Quay,0.9784626810248793,7.7,53.344153,-6.233451,Restaurant
8,288,Herbstreet,0.9535548001942358,8.4,53.344153,-6.233451,Restaurant
9,310,The South Strand (JD Wetherspoon),0.9860892913250878,,53.344153,-6.233451,Pub
0,386,Charlemont Bar & Bistro,0.9908594932731584,6.2,53.334295,-6.258503,Hotel Bar
1,401,Dicey's Garden,0.9920591847810563,7.4,53.334295,-6.258503,Night Club
2,482,Devitt's Pub,0.9868605215801651,7.8,53.334295,-6.258503,Pub
3,496,Brother Hubbard South,0.9820331914650519,8.9,53.334295,-6.258503,Café
4,502,Keavan's Port (JD Wetherspoon),0.9841183695621126,,53.334295,-6.258503,Pub
5,523,Meet Me In The Morning,0.9746922220000571,8.4,53.334295,-6.258503,Coffee Shop
6,525,Viking Splash Tours,0.9872318546659431,8.1,53.334295,-6.258503,Tour Provider
7,531,O'Donoghue's,0.9906309806049873,8.6,53.334295,-6.258503,Pub
8,534,Whelan's,0.9790625267788283,8.6,53.334295,-6.258503,Concert Hall
9,534,One Kinda Folk,0.9684938158759177,8.0,53.334295,-6.258503,Coffee Shop
0,135,Chimac,0.9744065811648434,8.7,53.340803,-6.267732,Fried Chicken Joint
1,221,Five Guys,0.9836042160587277,7.7,53.340803,-6.267732,Burger Joint
2,256,The Hairy Lemon,0.9914307749435859,7.9,53.340803,-6.267732,Lounge
3,290,Peter's Pub,0.9891456482618756,7.0,53.340803,-6.267732,Pub
4,312,Yamamori Noodles,0.9818618069639236,8.1,53.340803,-6.267732,Japanese Restaurant
5,315,Harry's on the Green,0.9852038047359251,6.1,53.340803,-6.267732,Cocktail Bar
6,379,Beer Temple Dublin,0.9950584135508013,,53.340803,-6.267732,Beer Bar
7,380,Grogan's Castle Lounge,0.990459596103859,8.3,53.340803,-6.267732,Lounge
8,381,The George,0.994744208632066,8.2,53.340803,-6.267732,Night Club
9,410,Street 66,0.9918021080293639,7.5,53.340803,-6.267732,Gay Bar
0,257,Xi'an Street Food,0.9936016452912109,,53.351464,-6.255265,Chinese Restaurant
1,270,41 Bus Stop,0.9887457510925762,,53.351464,-6.255265,Bus Stop
2,279,The Silver Penny (JD Wetherspoon),0.9958867719729213,7.6,53.351464,-6.255265,Pub
3,298,One Society,0.9738638635779371,7.6,53.351464,-6.255265,Café
4,313,Pipers Corner,0.9912879545259791,7.1,53.351464,-6.255265,Pub
5,326,The Flowing Tide,0.9932303122054329,8.3,53.351464,-6.255265,Lounge
6,351,The Big Romance,0.9866034448284727,7.5,53.351464,-6.255265,Cocktail Bar
7,357,Big Bus Tours Dublin,0.9971721557313834,,53.351464,-6.255265,Tour Provider
8,357,Writers Lounge,0.9894884172641321,,53.351464,-6.255265,Lounge
9,358,Madigan's,0.9932017481219115,8.4,53.351464,-6.255265,Pub
0,204,Bar Eile,0.8997686309234768,,53.333653,-6.248345,Bar
1,287,Angelina's,0.9421006027021623,7.4,53.333653,-6.248345,Italian Restaurant
2,291,Suesey Street,0.9516695706818247,7.2,53.333653,-6.248345,Wine Bar
3,330,Starbucks,0.9494130080836356,7.7,53.333653,-6.248345,Coffee Shop
4,338,M O'Briens Full Bar And Lounge,0.9701219686366362,8.2,53.333653,-6.248345,Pub
5,355,Smyths (Haddington Road),0.9305892770430461,7.8,53.333653,-6.248345,Pub
6,357,Searson's,0.9847753434831044,8.0,53.333653,-6.248345,Pub
7,376,Starbucks,0.9678939701219686,7.6,53.333653,-6.248345,Coffee Shop
8,391,B Bar,0.9772058613499386,7.7,53.333653,-6.248345,Hotel Bar
9,405,The 51 Bar,0.9633522808420691,7.6,53.333653,-6.248345,Lounge
0,31,The Thomas House,0.967465508869148,7.6,53.343105,-6.277167,Pub
1,215,The Brazen Head,0.99917164157788,8.9,53.343105,-6.277167,Bar
2,217,Proof Pizza + Punch,0.9624096660858636,,53.343105,-6.277167,Pizzeria
3,229,Tailors' Hall,0.9724927875689109,,53.343105,-6.277167,Beer Garden
4,283,Allmyfriends,0.973035505155817,,53.343105,-6.277167,Gay Bar
5,325,Copper + Straw,0.9923448256162701,,53.343105,-6.277167,Coffee Shop
6,432,Urbanity Coffee,0.9921448770316205,9.3,53.343105,-6.277167,Café
7,449,Underdog,0.9991145134108372,,53.343105,-6.277167,Beer Bar
8,518,Proper Order Coffee Co.,0.9843468822302837,8.0,53.343105,-6.277167,Café
9,547,Token,0.9740352480790654,8.7,53.343105,-6.277167,Arcade
0,108,Note,0.9628666914222057,,53.341428,-6.24672,Wine Bar
1,169,Steam,0.9767774000971179,,53.341428,-6.24672,Coffee Shop
2,195,The Ginger Man,0.9693793024650804,8.0,53.341428,-6.24672,Lounge
3,270,Kennedy's,0.971607300979748,7.6,53.341428,-6.24672,Lounge
4,350,Third Floor Espresso (3FE),0.9928304150361336,9.0,53.341428,-6.24672,Public and Social Service
5,385,Cloud Picker,0.9731497614899026,8.0,53.341428,-6.24672,Coffee Shop
6,386,The Gallery Café,0.9814619097946242,8.4,53.341428,-6.24672,Café
7,460,Windjammer Bar The,0.9657802279413865,6.5,53.341428,-6.24672,Lounge
8,489,Coffeeangel,0.9888314433431403,9.0,53.341428,-6.24672,Coffee Shop
9,497,Bread 41,0.989631237681739,8.2,53.341428,-6.24672,Bakery
0,320,Note,0.9628666914222057,,53.338614,-6.248606,Wine Bar
1,364,Steam,0.9767774000971179,,53.338614,-6.248606,Coffee Shop
2,366,The Ginger Man,0.9693793024650804,8.0,53.338614,-6.248606,Lounge
3,370,O'Donoghue's,0.9906309806049873,8.6,53.338614,-6.248606,Pub
4,409,Kennedy's,0.971607300979748,7.6,53.338614,-6.248606,Lounge
5,435,The Gallery Café,0.9814619097946242,8.4,53.338614,-6.248606,Café
6,439,KC Peaches,0.9749492987517495,6.6,53.338614,-6.248606,Coffee Shop
7,451,Third Floor Espresso (3FE),0.9928304150361336,9.0,53.338614,-6.248606,Public and Social Service
8,525,Coffeeangel,0.9888314433431403,9.0,53.338614,-6.248606,Coffee Shop
9,636,Cloud Picker,0.9731497614899026,8.0,53.338614,-6.248606,Coffee Shop
0,59,Basil,0.9067097032191722,6.7,53.341833,-6.231291,Coffee Shop
1,231,Ferrari Takeaway,0.8878288440115399,7.3,53.341833,-6.231291,Fast Food Restaurant
2,236,The Yacht,0.9124510840069696,7.3,53.341833,-6.231291,Bar
3,236,Paint mania,0.12599617241280814,,53.341833,-6.231291,Wine Bar
4,238,The Oarsman,0.9513553657630895,8.3,53.341833,-6.231291,Pub
5,250,John Clarke & Son's.,0.8983118626638864,,53.341833,-6.231291,Pub
6,278,Bus Stop Ringsend Rd / Barrow St,0.9075666257248136,,53.341833,-6.231291,Bus Stop
7,299,Pause Cafe',0.8851438201605302,6.6,53.341833,-6.231291,Café
8,303,Park Lane Cafe,0.9100517009911737,,53.341833,-6.231291,Café
9,303,Dobbins,,,53.341833,-6.231291,French Restaurant
0,38,Dockers,0.9740923762461081,,53.346637,-6.246154,Cocktail Bar
1,98,Gerard's,0.969722071467337,7.5,53.346637,-6.246154,Coffee Shop
2,204,Windjammer Bar The,0.9657802279413865,6.5,53.346637,-6.246154,Lounge
3,319,Drunken Fish,0.9775771944357166,7.6,53.346637,-6.246154,Bar
4,325,As One,0.9308177897112171,,53.346637,-6.246154,Café
5,354,The Pig & Heifer,0.9860607272415665,7.6,53.346637,-6.246154,Café
6,367,Cloud Picker,0.9731497614899026,8.0,53.346637,-6.246154,Coffee Shop
7,391,Offbeat Donut Co,0.9727784284041247,8.0,53.346637,-6.246154,Donut Shop
8,415,Bread 41,0.989631237681739,8.2,53.346637,-6.246154,Bakery
9,498,The Brew Dock,0.9963723613927847,8.4,53.346637,-6.246154,Bar
0,62,Yamamori Noodles,0.9818618069639236,8.1,53.343034,-6.263578,Japanese Restaurant
