,name,latitude,longitude,review_count,rating_avg,distance_avg,category
240,Chimac,53.340803,-6.267732,8.0,4.425,136.45959068713512,Chicken Wings
241,Five Guys,53.340803,-6.267732,,3.85,221.0,Burger Joint
242,The Hairy Lemon,53.340803,-6.267732,,3.95,256.0,Lounge
243,Peter's Pub,53.340803,-6.267732,,3.5,290.0,Pub
244,Yamamori Noodles,53.340803,-6.267732,,4.05,312.0,Japanese Restaurant
245,Harry's on the Green,53.340803,-6.267732,,3.05,315.0,Cocktail Bar
247,Grogan's Castle Lounge,53.340803,-6.267732,,4.15,380.0,Lounge
248,The George,53.340803,-6.267732,,4.1,381.0,Night Club
249,Street 66,53.340803,-6.267732,,3.75,410.0,Gay Bar
252,The Silver Penny (JD Wetherspoon),53.351464,-6.255265,,3.8,279.0,Pub
253,One Society,53.351464,-6.255265,,3.8,298.0,Café
254,Pipers Corner,53.351464,-6.255265,,3.55,313.0,Pub
255,The Flowing Tide,53.351464,-6.255265,,4.15,326.0,Lounge
256,The Big Romance,53.351464,-6.255265,,3.75,351.0,Cocktail Bar
259,Madigan's,53.351464,-6.255265,,4.2,358.0,Pub
261,Angelina's,53.333653,-6.248345,,3.7,287.0,Italian Restaurant
262,Suesey Street,53.333653,-6.248345,,3.6,291.0,Wine Bar
263,Starbucks,53.333653,-6.248345,,3.85,330.0,Coffee Shop
264,Starbucks,53.333653,-6.248345,,3.8,376.0,Coffee Shop
265,M O'Briens Full Bar And Lounge,53.333653,-6.248345,,4.1,338.0,Pub
266,Smyths (Haddington Road),53.333653,-6.248345,,3.9,355.0,Pub
267,Searson's,53.333653,-6.248345,,4.0,357.0,Pub
268,B Bar,53.333653,-6.248345,,3.85,391.0,Hotel Bar
269,The 51 Bar,53.333653,-6.248345,,3.8,405.0,Lounge
270,The Thomas House,53.343105,-6.277167,,3.8,31.0,Pub
271,The Brazen Head,53.343105,-6.277167,,4.45,215.0,Bar
276,Urbanity Coffee,53.343105,-6.277167,,4.65,432.0,Café
278,Proper Order Coffee Co.,53.343105,-6.277167,,4.0,518.0,Café
279,Token,53.343105,-6.277167,,4.35,547.0,Arcade
282,The Ginger Man,53.341428,-6.24672,88.0,4.0,195.82346810942664,Pubs
283,Kennedy's,53.341428,-6.24672,,3.8,270.0,Lounge
284,Third Floor Espresso (3FE),53.341428,-6.24672,,4.5,350.0,Public and Social Service
285,Cloud Picker,53.341428,-6.24672,,4.0,385.0,Coffee Shop
286,The Gallery Café,53.341428,-6.24672,,4.2,386.0,Café
287,Windjammer Bar The,53.341428,-6.24672,,3.25,460.0,Lounge
288,Coffeeangel,53.341428,-6.24672,,4.5,489.0,Coffee Shop
289,Bread 41,53.341428,-6.24672,,4.1,497.0,Bakery
292,The Ginger Man,53.338614,-6.248606,,4.0,366.0,Lounge
293,O'Donoghue's,53.338614,-6.248606,,4.3,370.0,Pub
294,Kennedy's,53.338614,-6.248606,,3.8,409.0,Lounge
295,The Gallery Café,53.338614,-6.248606,,4.2,435.0,Café
296,KC Peaches,53.338614,-6.248606,,3.3,439.0,Coffee Shop
